[2023-02-05 12:31:51,411] {/home/amin/Desktop/HW12/logic.py:40} 24837-ERROR-could not authenticate
[2023-02-05 19:06:17,672] {/home/amin/Desktop/HW12/logic.py:29} 5405-INFO-user was created
[2023-02-05 19:10:47,630] {/home/amin/Desktop/HW12/logic.py:29} 5611-INFO-user was created
[2023-02-05 19:10:47,630] {/home/amin/Desktop/HW12/logic.py:32} 5611-ERROR-could not create user
[2023-02-05 19:12:30,908] {/home/amin/Desktop/HW12/logic.py:29} 5769-INFO-user was created
[2023-02-05 19:12:30,908] {/home/amin/Desktop/HW12/logic.py:32} 5769-ERROR-could not create user
[2023-02-05 19:13:31,472] {/home/amin/Desktop/HW12/logic.py:32} 5832-ERROR-could not create user
[2023-02-05 19:13:31,472] {/home/amin/Desktop/HW12/logic.py:29} 5832-INFO-user was created
[2023-02-05 19:13:31,473] {/home/amin/Desktop/HW12/logic.py:32} 5832-ERROR-could not create user
[2023-02-05 19:14:32,431] {/home/amin/Desktop/HW12/logic.py:29} 5904-INFO-user was created
[2023-02-05 19:14:32,431] {/home/amin/Desktop/HW12/logic.py:32} 5904-ERROR-could not create user
[2023-02-05 19:17:47,486] {/home/amin/Desktop/HW12/logic.py:29} 6180-INFO-user was created
[2023-02-05 19:17:47,486] {/home/amin/Desktop/HW12/logic.py:32} 6180-ERROR-could not create user
[2023-02-05 19:18:09,878] {/home/amin/Desktop/HW12/logic.py:29} 6228-INFO-user was created
[2023-02-05 19:18:09,879] {/home/amin/Desktop/HW12/logic.py:32} 6228-ERROR-could not create user
[2023-02-05 19:18:09,879] {/home/amin/Desktop/HW12/logic.py:32} 6228-ERROR-could not create user
[2023-02-05 19:19:01,820] {/home/amin/Desktop/HW12/logic.py:29} 6306-INFO-user was created
[2023-02-05 19:19:01,821] {/home/amin/Desktop/HW12/logic.py:32} 6306-ERROR-could not create user
[2023-02-05 19:19:01,821] {/home/amin/Desktop/HW12/logic.py:32} 6306-ERROR-could not create user
[2023-02-05 19:19:01,821] {/home/amin/Desktop/HW12/logic.py:32} 6306-ERROR-could not create user
[2023-02-05 19:22:51,737] {/home/amin/Desktop/HW12/logic.py:40} 6456-ERROR-could not authenticate
[2023-02-05 19:22:51,739] {/home/amin/Desktop/HW12/logic.py:29} 6456-INFO-user was created
[2023-02-05 19:22:51,739] {/home/amin/Desktop/HW12/logic.py:32} 6456-ERROR-could not create user
[2023-02-05 19:22:51,739] {/home/amin/Desktop/HW12/logic.py:32} 6456-ERROR-could not create user
[2023-02-05 19:22:51,739] {/home/amin/Desktop/HW12/logic.py:32} 6456-ERROR-could not create user
[2023-02-05 19:25:03,983] {/home/amin/Desktop/HW12/logic.py:50} 6544-ERROR-could not authenticate
[2023-02-05 19:25:03,983] {/home/amin/Desktop/HW12/logic.py:40} 6544-ERROR-could not authenticate
[2023-02-05 19:25:03,984] {/home/amin/Desktop/HW12/logic.py:29} 6544-INFO-user was created
[2023-02-05 19:25:03,984] {/home/amin/Desktop/HW12/logic.py:32} 6544-ERROR-could not create user
[2023-02-05 19:25:03,984] {/home/amin/Desktop/HW12/logic.py:32} 6544-ERROR-could not create user
[2023-02-05 19:25:03,984] {/home/amin/Desktop/HW12/logic.py:32} 6544-ERROR-could not create user
[2023-02-05 19:25:37,844] {/home/amin/Desktop/HW12/logic.py:50} 6608-ERROR-could not authenticate
[2023-02-05 19:25:37,845] {/home/amin/Desktop/HW12/logic.py:40} 6608-ERROR-could not authenticate
[2023-02-05 19:25:37,845] {/home/amin/Desktop/HW12/logic.py:29} 6608-INFO-user was created
[2023-02-05 19:25:37,845] {/home/amin/Desktop/HW12/logic.py:32} 6608-ERROR-could not create user
[2023-02-05 19:25:37,845] {/home/amin/Desktop/HW12/logic.py:32} 6608-ERROR-could not create user
[2023-02-05 19:25:37,845] {/home/amin/Desktop/HW12/logic.py:32} 6608-ERROR-could not create user
[2023-02-05 19:29:34,468] {/home/amin/Desktop/HW12/logic.py:50} 6946-ERROR-could not authenticate
[2023-02-05 19:29:34,468] {/home/amin/Desktop/HW12/logic.py:40} 6946-ERROR-could not authenticate
[2023-02-05 19:29:34,469] {/home/amin/Desktop/HW12/logic.py:29} 6946-INFO-user was created
[2023-02-05 19:29:34,469] {/home/amin/Desktop/HW12/logic.py:32} 6946-ERROR-could not create user
[2023-02-05 19:29:34,469] {/home/amin/Desktop/HW12/logic.py:32} 6946-ERROR-could not create user
[2023-02-05 19:29:34,470] {/home/amin/Desktop/HW12/logic.py:32} 6946-ERROR-could not create user
[2023-02-05 19:37:41,568] {/home/amin/Desktop/HW12/logic.py:40} 7238-ERROR-could not authenticate
[2023-02-05 19:37:41,569] {/home/amin/Desktop/HW12/logic.py:29} 7238-INFO-user was created
[2023-02-05 19:37:41,569] {/home/amin/Desktop/HW12/logic.py:32} 7238-ERROR-could not create user
[2023-02-05 19:37:41,569] {/home/amin/Desktop/HW12/logic.py:32} 7238-ERROR-could not create user
[2023-02-05 19:37:41,569] {/home/amin/Desktop/HW12/logic.py:32} 7238-ERROR-could not create user
[2023-02-05 19:38:47,284] {/home/amin/Desktop/HW12/logic.py:40} 7308-ERROR-could not authenticate
[2023-02-05 19:38:47,285] {/home/amin/Desktop/HW12/logic.py:29} 7308-INFO-user was created
[2023-02-05 19:38:47,285] {/home/amin/Desktop/HW12/logic.py:32} 7308-ERROR-could not create user
[2023-02-05 19:38:47,285] {/home/amin/Desktop/HW12/logic.py:32} 7308-ERROR-could not create user
[2023-02-05 19:38:47,286] {/home/amin/Desktop/HW12/logic.py:32} 7308-ERROR-could not create user
[2023-02-05 19:40:54,393] {/home/amin/Desktop/HW12/logic.py:40} 7416-ERROR-could not authenticate
[2023-02-05 19:40:54,394] {/home/amin/Desktop/HW12/logic.py:29} 7416-INFO-user was created
[2023-02-05 19:40:54,395] {/home/amin/Desktop/HW12/logic.py:32} 7416-ERROR-could not create user
[2023-02-05 19:40:54,395] {/home/amin/Desktop/HW12/logic.py:32} 7416-ERROR-could not create user
[2023-02-05 19:40:54,395] {/home/amin/Desktop/HW12/logic.py:32} 7416-ERROR-could not create user
[2023-02-05 19:44:48,041] {/home/amin/Desktop/HW12/logic.py:40} 7566-ERROR-could not authenticate
[2023-02-05 19:44:48,044] {/home/amin/Desktop/HW12/logic.py:29} 7566-INFO-user was created
[2023-02-05 19:44:48,044] {/home/amin/Desktop/HW12/logic.py:32} 7566-ERROR-could not create user
[2023-02-05 19:44:48,045] {/home/amin/Desktop/HW12/logic.py:32} 7566-ERROR-could not create user
[2023-02-05 19:44:48,045] {/home/amin/Desktop/HW12/logic.py:32} 7566-ERROR-could not create user
[2023-02-05 19:46:20,968] {/home/amin/Desktop/HW12/logic.py:40} 7676-ERROR-could not authenticate
[2023-02-05 19:46:20,969] {/home/amin/Desktop/HW12/logic.py:29} 7676-INFO-user was created
[2023-02-05 19:46:20,969] {/home/amin/Desktop/HW12/logic.py:32} 7676-ERROR-could not create user
[2023-02-05 19:46:20,970] {/home/amin/Desktop/HW12/logic.py:32} 7676-ERROR-could not create user
[2023-02-05 19:46:20,970] {/home/amin/Desktop/HW12/logic.py:32} 7676-ERROR-could not create user
[2023-02-05 19:48:55,799] {/home/amin/Desktop/HW12/logic.py:40} 7772-ERROR-could not authenticate
[2023-02-05 19:48:55,800] {/home/amin/Desktop/HW12/logic.py:29} 7772-INFO-user was created
[2023-02-05 19:48:55,801] {/home/amin/Desktop/HW12/logic.py:32} 7772-ERROR-could not create user
[2023-02-05 19:48:55,801] {/home/amin/Desktop/HW12/logic.py:32} 7772-ERROR-could not create user
[2023-02-05 19:48:55,801] {/home/amin/Desktop/HW12/logic.py:32} 7772-ERROR-could not create user
[2023-02-05 19:53:30,181] {/home/amin/Desktop/HW12/logic.py:40} 7930-ERROR-could not authenticate
[2023-02-05 19:53:30,182] {/home/amin/Desktop/HW12/logic.py:29} 7930-INFO-user was created
[2023-02-05 19:53:30,182] {/home/amin/Desktop/HW12/logic.py:32} 7930-ERROR-could not create user
[2023-02-05 19:53:30,182] {/home/amin/Desktop/HW12/logic.py:32} 7930-ERROR-could not create user
[2023-02-05 19:53:30,182] {/home/amin/Desktop/HW12/logic.py:32} 7930-ERROR-could not create user
[2023-02-05 19:53:36,602] {/home/amin/Desktop/HW12/logic.py:40} 7969-ERROR-could not authenticate
[2023-02-05 19:53:36,604] {/home/amin/Desktop/HW12/logic.py:29} 7969-INFO-user was created
[2023-02-05 19:53:36,604] {/home/amin/Desktop/HW12/logic.py:32} 7969-ERROR-could not create user
[2023-02-05 19:53:36,605] {/home/amin/Desktop/HW12/logic.py:32} 7969-ERROR-could not create user
[2023-02-05 19:53:36,605] {/home/amin/Desktop/HW12/logic.py:32} 7969-ERROR-could not create user
[2023-02-05 19:54:12,224] {/home/amin/Desktop/HW12/logic.py:40} 8036-ERROR-could not authenticate
[2023-02-05 19:54:12,225] {/home/amin/Desktop/HW12/logic.py:29} 8036-INFO-user was created
[2023-02-05 19:54:12,225] {/home/amin/Desktop/HW12/logic.py:32} 8036-ERROR-could not create user
[2023-02-05 19:54:12,225] {/home/amin/Desktop/HW12/logic.py:32} 8036-ERROR-could not create user
[2023-02-05 19:54:12,225] {/home/amin/Desktop/HW12/logic.py:32} 8036-ERROR-could not create user
[2023-02-05 19:56:02,389] {/home/amin/Desktop/HW12/logic.py:136} 8325-ERROR-could not authenticate
[2023-02-05 19:56:02,390] {/home/amin/Desktop/HW12/logic.py:91} 8325-ERROR-could not deposit
[2023-02-05 19:56:02,390] {/home/amin/Desktop/HW12/logic.py:114} 8325-ERROR-invalid amount for transaction
